WL,Fighter,Str,Td,Sub,Pass,Weightclass,Method,Round,Time,Fight,Fight_Number,Opponent,Date,Event,Month,Event (Weight-Cut),Div,Division,Nat,Target Weight,Actual Weight,Missed by,Notes,Withdrawn,Main Co-Main vs Undercard
win,Josh Emmett,10,0,0,0,Featherweight,KO/TKO  Punch,1,4:33,Josh Emmett vs. Ricardo Lamas,1,Ricardo Lamas,2017-12-16,UFC Fight Night: Lawler vs. Dos Anjos,2017-12-01,Winnipeg,FW,FW,USA,145,148.5,3.5,,,Main or Co-Main
loss,Karine Gevorgyan,2,0,0,0,Women's Flyweight,SUB  Armbar,1,1:40,Rachael Ostovich vs. Karine Gevorgyan,8,Rachael Ostovich,2017-12-01,The Ultimate Fighter 26 Finale,2017-12-01,Tuf Finale,WFLY,WFLY,ARM,125,130.0,5.0,,,Undercard
win,Rolando Dy,26,0,0,1,Featherweight,U-DEC,3,5:00,Rolando Dy vs. Wuliji Buren,10,Wuliji Buren,2017-11-25,UFC Fight Night: Bisping vs. Gastelum,2017-11-01,Shanghai,FW,FW,PHI,145,148.0,3.0,,,Undercard
win,Jessica Rose-Clark,101,2,1,3,Women's Flyweight,S-DEC,3,5:00,Jessica-Rose Clark vs. Bec Rawlings,1,Bec Rawlings,2017-11-18,UFC Fight Night: Werdum vs. Tybura,2017-11-01,Sydney,WFLY,WFLY,AUS,125,128.0,3.0,,,Main or Co-Main
win,Ryan Benoit,45,0,0,0,Flyweight,KO/TKO  Kick,3,2:38,Ryan Benoit vs. Ashkan Mokhtarian,6,Ashkan Mokhtarian,2017-11-18,UFC Fight Night: Werdum vs. Tybura,2017-11-01,Sydney,FLY,FLY,USA,125,129.0,4.0,,,Undercard
win,Frank Camacho,154,1,0,1,Lightweight,S-DEC,3,5:00,Frank Camacho vs. Damien Brown,9,Damien Brown,2017-11-18,UFC Fight Night: Werdum vs. Tybura,2017-11-01,Sydney,LW,LW,USA,155,160.0,5.0,,,Undercard
win,Nadia Kassem,52,0,6,1,Women's Strawweight,U-DEC,3,5:00,Nadia Kassem vs. Alex Chambers,10,Alex Chambers,2017-11-18,UFC Fight Night: Werdum vs. Tybura,2017-11-01,Sydney,WSW,WSW,USA,115,120.0,5.0,,,Undercard
loss,Matthew Lopez,34,1,0,0,Bantamweight,KO/TKO  Punch,3,1:50,Raphael Assuncao vs. Matthew Lopez,4,Raphael Assuncao,2017-11-11,UFC Fight Night: Poirier vs. Pettis,2017-11-01,Norfok,BW,BW,USA,135,138.5,3.5,,,Undercard
loss,Sam Alvey,29,0,0,0,Middleweight,U-DEC,3,5:00,Ramazan Emeev vs. Sam Alvey,6,Ramazan Emeev,2017-10-21,UFC Fight Night: Cerrone vs. Till,2017-10-01,Gdansk,MW,MW,USA,185,189.0,4.0,,,Undercard
loss,Kevin Lee,55,3,0,2,Lightweight,SUB  Triangle Choke,3,4:02,Tony Ferguson vs. Kevin Lee,0,Tony Ferguson,2017-10-07,UFC 216: Ferguson vs. Lee,2017-10-01,UFC 215,LW,LW,USA,155,155.0,0.0,Made weight at 2nd attempt,,Main or Co-Main
win,Michel Prazeres,26,4,1,15,Lightweight,SUB  North-South Choke,3,1:26,Michel Prazeres vs. Mads Burnell,6,Mads Burnell,2017-09-02,UFC Fight Night: Volkov vs. Struve,2017-09-01,Rotterdam,LW,LW,MEX,155,159.0,4.0,,,Undercard
win,Alexa Grasso,64,0,0,1,Women's Strawweight,S-DEC,3,5:00,Alexa Grasso vs. Randa Markos,1,Randa Markos,2017-08-05,UFC Fight Night: Pettis vs. Moreno,2017-08-01,Mexico,WSW,WSW,MEX,115,119.0,4.0,,,Main or Co-Main
loss,Joanne Calderwood,63,0,0,0,Women's Strawweight,U-DEC,3,5:00,Cynthia Calvillo vs. Joanne Calderwood,1,Cynthia Calvillo,2017-07-16,UFC Fight Night: Nelson vs. Ponzinibbio,2017-07-01,Glasgow,WSW,WSW,USA,115,118.0,3.0,,,Main or Co-Main
loss,Johny Hendricks,10,0,0,0,Middleweight,KO/TKO  Punches,2,0:46,Tim Boetsch vs. Johny Hendricks,1,Tim Boetsch,2017-06-25,UFC Fight Night: Chiesa vs. Lee,2017-06-01,Oklahoma City,MW,MW,USA,185,188.0,3.0,,,Main or Co-Main
win,Jared Gordon,67,4,0,5,Featherweight,KO/TKO  Punches,2,4:24,Jared Gordon vs. Michel Quinones,10,Michel Quinones,2017-06-25,UFC Fight Night: Chiesa vs. Lee,2017-06-01,Oklahoma City,FW,FW,USA,145,149.0,4.0,,,Undercard
loss,Carls John De Tomas,30,2,0,1,Flyweight,U-DEC,3,5:00,Naoki Inoue vs. Carls John De Tomas,10,Naoki Inoue,2017-06-17,UFC Fight Night: Holm vs. Correia,2017-06-01,Singapore,FLY,FLY,PHI,125,126.0,1.0,,,Undercard
loss,Chanmi Jeon,92,0,0,0,Women's Strawweight,U-DEC,3,5:00,JJ Aldrich vs. Chanmi Jeon,10,JJ Aldrich,2017-06-10,UFC Fight Night: Lewis vs. Hunt,2017-06-01,Auckland,WSW,WSW,KOR,115,118.0,3.0,,,Undercard
loss,Marcos Rogerio de Lima,17,0,0,0,Light Heavyweight,SUB  Other - Choke,2,2:11,Ovince Saint Preux vs. Marcos Rogerio de Lima,2,Ovince Saint Preux,2017-04-22,UFC Fight Night: Swanson vs. Lobov,2017-04-01,Nashville,LHW,LHW,USA,205,210.0,5.0,,,Undercard
win,Daniel Cormier,36,1,1,1,Light Heavyweight,SUB  Rear Naked Choke,2,3:37,Daniel Cormier vs. Anthony Johnson,0,Anthony Johnson,2017-04-08,UFC 210: Cormier vs. Johnson 2,2017-04-01,UFC 210,LHW,LHW,USA,205,205.0,0.0,Made weight at 2nd attempt (206.2 first),,Main or Co-Main
win,Marlon Vera,67,0,0,0,Catch Weight,KO/TKO  Kick,3,3:50,Marlon Vera vs. Brad Pickett,2,Brad Pickett,2017-03-18,UFC Fight Night: Manuwa vs. Anderson,2017-03-01,London,BW,BW,RUS,135,140.0,5.0,,,Undercard
loss,Gina Mazany,0,0,0,0,Women's Bantamweight,SUB  Arm Triangle,1,1:14,Sara McMann vs. Gina Mazany,4,Sara McMann,2017-02-19,UFC Fight Night: Lewis vs. Browne,2017-02-01,Halifax,WBW,WBW,USA,135,139.5,4.5,,,Undercard
loss,Bec Rawlings,37,1,0,0,Women's Strawweight,U-DEC,3,5:00,Tecia Torres vs. Bec Rawlings,9,Tecia Torres,2017-02-04,UFC Fight Night: Bermudez vs. The Korean Zombie,2017-02-01,Houston,WSW,WSW,AUS,115,117.5,2.5,,,Undercard
win,Marcos Rogerio de Lima,12,0,0,0,Light Heavyweight,KO/TKO  Punches,1,2:27,Marcos Rogerio de Lima vs. Jeremy Kimball,9,Jeremy Kimball,2017-01-28,UFC Fight Night: Shevchenko vs. Pena,2017-01-01,Denver,LHW,LHW,BRA,205,209.6,4.6,,,Undercard
win,Ray Borg,21,4,1,12,Flyweight,U-DEC,3,5:00,Ray Borg vs. Louis Smolka,4,Louis Smolka,2016-12-30,UFC 207: Nunes vs. Rousey,2016-12-01,UFC 207,FLY,FLY,USA,125,129.5,4.5,"2nd time missing weight, also missed in August 2015 against Geane Herrera",,Undercard
loss,Johny Hendricks,18,6,0,3,Welterweight,U-DEC,3,5:00,Neil Magny vs. Johny Hendricks,5,Neil Magny,2016-12-30,UFC 207: Nunes vs. Rousey,2016-12-01,UFC 207,WW,WW,USA,170,173.5,3.5,2nd successive fight missing weight. Stated move to MW after the fight,,Undercard
loss,Anthony Pettis,53,0,0,0,Featherweight,KO/TKO  Punches,3,4:50,Max Holloway vs. Anthony Pettis,0,Max Holloway,2016-12-10,UFC 206: Holloway vs. Pettis,2016-12-01,UFC 206,FW,FW,USA,145,148.0,3.0,Dropped from LW to FW. Second fight at featherweight,,Main or Co-Main
loss,Valerie Letourneau,47,1,0,3,Women's Strawweight,S-DEC,3,5:00,Viviane Pereira vs. Valerie Letourneau,7,Viviane Pereira,2016-12-10,UFC 206: Holloway vs. Pettis,2016-12-01,UFC 206,WSW,WSW,CAN,115,117.5,2.5,Natural Flyweight. Has fought at both FW and BW,,Undercard
win,Justine Kish,51,1,1,1,Women's Strawweight,U-DEC,3,5:00,Justine Kish vs. Ashley Yoder,4,Ashley Yoder,2016-12-09,UFC Fight Night: Lewis vs. Abdurakhimov,2016-12-01,Albany,WSW,WSW,USA,115,116.4,1.4,3rd fight at strawweight. Naturally suited to flyweight,,Undercard
win,Zak Cummings,24,0,1,1,Welterweight,SUB  Armbar,2,4:02,Zak Cummings vs. Alexander Yakovlev,9,Alexander Yakovlev,2016-11-19,UFC Fight Night: Mousasi vs. Hall 2,2016-11-01,Belfast,WW,WW,USA,170,172.8,2.8,Formerly a LHW. WW since 2013,,Undercard
loss,Thiago Alves,36,0,0,0,Catch Weight,U-DEC,3,5:00,Jim Miller vs. Thiago Alves,9,Jim Miller,2016-11-12,UFC 205: Alvarez vs McGregor,2016-11-01,UFC 205,LW,LW,BRA,155,162.6,7.6,3rd time missing weight. Was fighting at Lighweight despite previous fights being at WW,,Undercard
loss,Charles Oliveira,13,2,2,1,Featherweight,SUB  Guillotine Choke,2,2:13,Ricardo Lamas vs. Charles Oliveira,2,Ricardo Lamas,2016-11-05,UFC Fight Night: Dos Anjos vs. Ferguson,2016-11-01,Mexico,FW,FW,BRA,145,155.0,10.0,4th Time missing weight. Repeat offender,,Undercard
loss,Felipe Arantes,34,0,2,3,Bantamweight,S-DEC,3,5:00,Erik Perez vs. Felipe Arantes,6,Erik Perez,2016-11-05,UFC Fight Night: Dos Anjos vs. Ferguson,2016-11-01,Mexico,BW,BW,BRA,135,138.0,3.0,3rd fight at BW after dropping from FW,,Undercard
win,John Lineker,93,0,0,0,Bantamweight,S-DEC,5,5:00,John Lineker vs. John Dodson,0,John Dodson,2016-10-01,UFC Fight Night: Lineker vs. Dodson,2016-10-01,Portland,BW,BW,BRA,135,136.5,1.5,5th time missing weight in 12 fights,,Main or Co-Main
win,Alex Oliveira,48,4,1,2,Lightweight,KO/TKO  Punches,3,3:30,Alex Oliveira vs. Will Brooks,1,Will Brooks,2016-10-01,UFC Fight Night: Lineker vs. Dodson,2016-10-01,Portland,LW,LW,BRA,155,161.5,6.5,Previous two fights were both at WW,,Main or Co-Main
loss,Hacran Dias,25,4,1,3,Featherweight,U-DEC,3,5:00,Andre Fili vs. Hacran Dias,5,Andre Fili,2016-10-01,UFC Fight Night: Lineker vs. Dodson,2016-10-01,Portland,FW,FW,BRA,145,148.5,3.5,,,Undercard
win,Michel Prazeres,67,5,0,0,Lightweight,U-DEC,3,5:00,Michel Prazeres vs. Gilbert Burns,6,Gilbert Burns,2016-09-24,UFC Fight Night: Cyborg vs. Lansberg,2016-09-01,Brazil,LW,LW,BRA,155,158.0,3.0,,,Undercard
loss,Michael McBride,16,0,0,1,Lightweight,KO/TKO  Punches,2,4:17,Nik Lentz vs. Michael McBride,7,Nik Lentz,2016-09-10,UFC 203: Miocic vs. Overeem,2016-09-01,UFC 203,LW,LW,USA,155,158.0,3.0,,,Undercard
win,Chad Laprise,17,0,0,0,Lightweight,KO/TKO  Punch,1,1:36,Chad Laprise vs. Thibault Gouti,8,Thibault Gouti,2016-08-27,UFC Fight Night: Maia vs. Condit,2016-08-01,Vancouver,LW,LW,CAN,155,159.0,4.0,,,Undercard
loss,Johny Hendricks,70,1,0,0,Welterweight,U-DEC,3,5:00,Kelvin Gastelum vs. Johny Hendricks,6,Kelvin Gastelum,2016-07-09,UFC 200: Tate vs Nunes,2016-07-01,UFC 200,WW,WW,USA,170,171.5,1.5,,,Undercard
win,Randa Markos,86,1,1,0,Women's Strawweight,U-DEC,3,5:00,Randa Markos vs. Jocelyn Jones-Lybarger,10,Jocelyn Jones-Lybarger,2016-06-18,UFC Fight Night: MacDonald vs Thompson,2016-06-01,Ottowa,WSW,WSW,CAN,115,117.5,2.5,,,Undercard
loss,Augusto Mendes,11,0,0,0,Catch Weight,KO/TKO  Punches,1,4:18,Cody Garbrandt vs. Augusto Mendes,2,Cody Garbrandt,2016-02-21,UFC Fight Night: Cowboy vs Cowboy,2016-02-01,Pittsburg,BW,BW,BRA,135,142.0,7.0,Was late notice replacement,,Undercard
win,Charles Oliveira,5,1,1,2,Featherweight,SUB  Guillotine Choke,1,3:05,Charles Oliveira vs. Myles Jury,4,Myles Jury,2015-12-19,UFC on FOX: Dos Anjos vs. Cowboy 2,2015-12-01,Orlando,FW,FW,BRA,145,150.5,5.5,,,Undercard
loss,Francisco Trevino,1,0,0,0,Lightweight,KO/TKO  Punches,1,0:57,Sage Northcutt vs. Francisco Trevino,9,Sage Northcutt,2015-10-03,UFC 192: Cormier vs Gustafsson,2015-10-01,Houston,LW,LW,USA,155,160.0,5.0,Missed weight and then tested positive for Marijuana,,Undercard
win,Ray Borg,26,3,2,19,Flyweight,U-DEC,3,5:00,Ray Borg vs. Geane Herrera,5,Geane Herrera,2015-08-08,UFC Fight Night: Teixeira vs Saint Preux,2015-08-01,Nashville,FLY,FLY,USA,125,126.75,1.75,,,Undercard
win,Maximo Blanco,4,0,0,0,Featherweight,KO/TKO  Punch,1,0:16,Maximo Blanco vs. Mike de la Torre,5,Mike de la Torre,2015-07-12,The Ultimate Fighter 21 Finale,2015-07-01,TUF,FW,FW,VEN,145,148.5,3.5,,,Undercard
win,Jeremy Stephens,38,0,0,0,Featherweight,KO/TKO  Flying Knee,3,0:32,Jeremy Stephens vs. Dennis Bermudez,2,Dennis Bermudez,2015-07-11,UFC 189: Mendes vs McGregor,2015-07-01,UFC 189,FW,FW,USA,145,149.5,4.5,,,Undercard
loss,Lewis Gonzalez,21,2,0,2,Welterweight,U-DEC,3,5:00,Leandro Silva vs. Lewis Gonzalez,6,Leandro Silva,2015-06-27,UFC Fight Night: Machida vs Romero,2015-06-01,Florida,WW,WW,,170,174.0,4.0,,,Undercard
loss,Yancy Medeiros,6,0,0,0,Lightweight,KO/TKO  Punches,1,2:38,Dustin Poirier vs. Yancy Medeiros,2,Dustin Poirier,2015-06-06,UFC Fight Night: Boetsch vs Henderson,2015-06-01,New Orleans,LW,LW,,155,159.5,4.5,,,Undercard
loss,Leonardo Morales,3,0,0,0,Bantamweight,SUB  Rear Naked Choke,1,2:34,Jose Quinonez vs. Leonardo Morales,11,Jose Quinonez,2015-06-06,UFC Fight Night: Boetsch vs Henderson,2015-06-01,New Orleans,BW,BW,,135,140.0,5.0,,,Undercard
loss,Royston Wee,18,0,0,0,Bantamweight,KO/TKO  Punch,2,4:59,Ning Guangyou vs. Royston Wee,9,Ning Guangyou,2015-05-16,UFC Fight Night: Edgar vs Faber,2015-05-01,Pasay,BW,BW,,135,137.0,2.0,,,Undercard
loss,Daron Cruickshank,17,0,0,0,Lightweight,SUB  Rear Naked Choke,2,2:38,Beneil Dariush vs. Daron Cruickshank,7,Beneil Dariush,2015-03-14,UFC 185: Pettis vs Dos Anjos,2015-03-01,UFC 185,LW,LW,,155,157.5,2.5,,,Undercard
loss,Patrick Walsh,50,1,0,1,Middleweight,U-DEC,3,5:00,Daniel Kelly vs. Patrick Walsh,3,Daniel Kelly,2015-02-14,UFC Fight Night: Henderson vs Thatch,2015-02-01,Colorado,MW,MW,,185,191.5,6.5,,,Undercard
win,James Moontasri,32,0,1,1,Lightweight,SUB  Rear Naked Choke,2,1:49,James Moontasri vs. Cody Pfister,9,Cody Pfister,2015-02-14,UFC Fight Night: Henderson vs Thatch,2015-02-01,Colorado,LW,LW,,155,158.0,3.0,,,Undercard
